,count,mean,std,min,25%,50%,75%,max,missing
GHI,525600.0,201.95751522070017,298.4951504289856,-19.5,-2.8,0.3,362.4,1499.0,0
DNI,525600.0,116.37633694824962,218.65265859128834,-7.8,-0.3,-0.1,107.0,946.0,0
DHI,525600.0,113.720570585997,158.94603196076645,-17.9,-3.8,-0.1,224.7,892.0,0
ModA,525600.0,206.6430951293759,300.8968926212413,0.0,0.0,3.6,359.5,1507.0,0
ModB,525600.0,198.11469121004558,288.8890726857755,0.0,0.0,3.4,345.4,1473.0,0
Tamb,525600.0,26.319394216133944,4.398605011595131,12.3,23.1,25.3,29.4,39.9,0
RH,525600.0,79.44885730593609,20.520774562690175,9.9,68.7,85.4,96.7,100.0,0
WS,525600.0,1.1461130136986302,1.2392483687506368,0.0,0.0,0.8,2.0,19.2,0
WSgust,525600.0,1.6916059741248095,1.617053354438623,0.0,0.0,1.6,2.6,23.9,0
WSstdev,525600.0,0.36382286910197875,0.29500006363719533,0.0,0.0,0.4,0.6,4.1,0
WD,525600.0,133.0446683789954,114.28479181237655,0.0,0.0,161.5,234.1,360.0,0
WDstdev,525600.0,7.1722197488584465,7.5350931592808434,0.0,0.0,6.2,12.0,98.4,0
BP,525600.0,999.8764687975647,2.104419226069219,993.0,999.0,1000.0,1001.0,1006.0,0
Cleaning,525600.0,0.0009665144596651446,0.031073817701868293,0.0,0.0,0.0,0.0,1.0,0
Precipitation,525600.0,0.00480593607305936,0.047555992534041275,0.0,0.0,0.0,0.0,2.4,0
TModA,525600.0,32.504263127853875,12.434898577542754,10.7,23.5,26.6,40.9,72.8,0
TModB,525600.0,32.5930905631659,12.009161313594923,11.1,23.8,26.9,41.3,70.4,0
Comments,0.0,,,,,,,,525600
